group_id,group_type
50883936,1
52620949,1
163061027,1
211093965,1
219850031,1
214758187,1
15755094,1
333999,1
40316705,1
26284064,1
23304496,1
67991642,1
219309149,1
215232108,1
211144754,1
221269038,1
211224002,1
220155889,1
18483909,1
65614662,1
17842936,2
25232578,2
25232578,2
43517580,2
17568841,2
124609314,2
171147949,2
75895730,2
17760452,2
15548215,2
24432306,2
614179,2
11982368,2
29534144,2
40923474,2
21239875,2
93429434,2
66036248,2
4325149,2
19334776,2
55284725,2
4537617,2
